Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2021-10-06 17:01:43.740 +0530,"Aborted",0:02:19,1,0,1,"20211006_170143.740/LogFile.txt","","",0
2021-10-06 17:05:03.836 +0530,"Aborted",0:01:30,1,0,0,"20211006_170503.836/LogFile.txt","","",0
2021-10-06 17:07:10.308 +0530,"Aborted",0:01:59,1,0,1,"20211006_170710.308/LogFile.txt","","",0
2021-10-06 17:10:51.232 +0530,"Aborted",0:02:11,1,0,1,"20211006_171051.232/LogFile.txt","","",0
2021-10-06 17:19:35.686 +0530,"Aborted",0:03:14,1,0,1,"20211006_171935.686/LogFile.txt","","",0
